ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
46100,Romani (Prekmurski),,,,,
46200,Romani (Romungro),carp1235,,rmc,,
46300,Romani (Veršend),,,,,
46500,Angloromani,angl1239,,rme,,
46600,Romani (Burgenland),,,,,
46700,Romani (Kale),kalo1256,,rmf,,
46800,Romani (Latvian),,,,,
46900,Romani (Lithuanian),,,,,
47000,Romani (North Russian),,,,,
47100,Scandoromani,tavr1235,,rmu,,
47200,Romani (Sinte),sint1235,,rmo,,
47300,Romani (Welsh),wels1246,,rmw,,
47500,Romani (Banatiski Gurbet),,,,,
47600,Romani (Dolenjski),,,,,
47700,Romani (Gurbet),,,,,
47800,Romani (Kelderash),vlax1238,,rmy,,
47900,Romani (Lovara),vlax1238,,rmy,,
48000,Romani (Macedonian Džambazi),,,,,
48100,Romani (Sremski Gurbet),,,,,
48300,Assamese,assa1263,,asm,,
48400,Bengali,beng1280,,ben,,
48500,Maithili,mait1250,,mai,,
48600,Oriya,oriy1255,,ory,,
48800,Nepali,nepa1254,,npi,,
49000,Kashmiri,kash1277,,kas,,
49100,Khowar,khow1242,,khw,,
49200,Lahnda,,,lah,,
49300,Sindhi,sind1272,,snd,,
49500,Maldivian,dhiv1236,,div,,
49600,Sinhalese,sinh1246,,sin,,
49800,Konkani,konk1267,,knn,,
49900,Marathi,mara1378,,mar,,
50000,Old Marathi,,,,,
50200,Gujarati,guja1252,,guj,,
