	CONCEPT	CORRECT	GLOSS	FORM	PROBLEMS	SOURCE
299	GRAPE		grape	úoga		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
300	STONE (OF FRUIT)		stone	uolà		The Intercontinental Dictionary Series. ids.clld.org
301	STONE (OF FRUIT)		stone	uolà		The Intercontinental Dictionary Series. ids.clld.org
302	ASH		ash	úosis		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.
303	LOUSE		louse (lice)	utėlẽ̇		The Intercontinental Dictionary Series. ids.clld.org
304	KILL		to kill	užmùšti		The Intercontinental Dictionary Series. ids.clld.org
305	PLOUGH (INSTRUMENT)		plough (noun)	vãgis		Pokorny,  Julius. 1959. Indogermanisches etymologisches Wörterbuch. Bern- München: Francke Verlag.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
306	WALK		to walk	váikščioti		The Intercontinental Dictionary Series. ids.clld.org
307	EAT		to eat	válgyti		The Intercontinental Dictionary Series. ids.clld.org
308	???		cultivated field	váltis		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
309	IRRIGATE		water (n)	vanduõ		The Intercontinental Dictionary Series. ids.clld.org
310	CALL BY NAME		name	var̃das		The Intercontinental Dictionary Series. ids.clld.org
311	COPPER		copper	vãrias, vãris		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
312	SNAKE		snake	var̃mas		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
313	RAVEN		raven	várna		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
314	RAVEN		raven	vãrnas		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
315	SPIN		to spin (thread)	varpstė		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
316	SPIN		to spin (thread)	varptis		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
317	SPRING (OF WATER)		spring	vãsara		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
318	SUMMER		summer	vãsara		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
319	BEESWAX		wax (bees)	vãškas		Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
320	AXE		axe	vedegà		Pokorny,  Julius. 1959. Indogermanisches etymologisches Wörterbuch. Bern- München: Francke Verlag.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
321	SPIN		to spin (thread)	verpti		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
322	OX		ox	veršis		Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Michiel de Vaan. Etymological Dictionary of Latin and the other Italic Languages. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
323	WOLF		wolf	ver̃žti, veržiù		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
324	WOOD		wood	vidùs		Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
325	ONE		one	víenas		The Intercontinental Dictionary Series. ids.clld.org
326	WOLF		wolf	vil̃kas		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
327	WOOL		wool	vìlna		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Simpson,  J.,  & Weiner,  E. S. 1989. Oxford English dictionary. Oxford: Clarendon Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
328	WOOL		wool	vìlnos		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Simpson,  J.,  & Weiner,  E. S. 1989. Oxford English dictionary. Oxford: Clarendon Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
329	FOX		fox	vilpišỹs		Michiel de Vaan. Etymological Dictionary of Latin and the other Italic Languages. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Walde,  Alois. (1910). Lateinische etymologisches Wörterbuch. 2. umgearb. Aufl. Heidelberg: C. Winter;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
330	ALL		all (of a number)	visì, vìskas		The Intercontinental Dictionary Series. ids.clld.org
331	CHICKEN		chicken	vista		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
332	HEN		hen	vista		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
333	WINE		wine	vynas		Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
334	GRAPE		grape	vynuogė		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
335	MAN		man (adult male human)	výras		The Intercontinental Dictionary Series. ids.clld.org
336	GREEN		green (colour)	žãlias		The Intercontinental Dictionary Series. ids.clld.org
337	COPPER		copper	žalvaris		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
338	SWORD		sword	žam̃bas		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
339	OAT		oats	žė̃bti		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
340	GOLD		gold	želtas		Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
341	EARTH (SOIL)		earth (soil, ground)	žẽmė		The Intercontinental Dictionary Series. ids.clld.org
342	WINTER		winter	žiemà		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
343	BARK		bark (of tree)	žievẽ̇		The Intercontinental Dictionary Series. ids.clld.org
344	KNOW (SOMETHING)		to know	žinóti; pažìnti		The Intercontinental Dictionary Series. ids.clld.org
345	GRAIN		grain (generic)	žirnis		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
346	PERSON (CLASSIFIER)		person (individual human)	žmogùs, žmónės		The Intercontinental Dictionary Series. ids.clld.org
347	KILL		to kill	žudýti		The Intercontinental Dictionary Series. ids.clld.org
348	HARE		hare	zuĩkis		Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Vasmer,  Max. 1952-58. Vasmer,  M. (1958). Russisches etymologisches Wörterbuch (4 Volumes). Heidelberg: C. Winter.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
349	PLOUGH (INSTRUMENT)		plough (noun)	žúolis		Hrach K. Martirosyan. Etymological Dictionary of the Armenian Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
350	FISH		fish (n)	žuvìs		The Intercontinental Dictionary Series. ids.clld.org
351	STAR		star	žvaigždẽ̇		The Intercontinental Dictionary Series. ids.clld.org
